race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5147,Wise Power 400,200,200,454,3,33,14,26,12,3,36,28.58,56,4,52,8,2,21,0,200,58.95
5147,Wise Power 400,200,200,1361,4,24,15,5,-10,3,31,10.32,110,8,102,70,0,169,0,200,89.83
5147,Wise Power 400,200,200,4228,24,5,16,15,-1,1,31,14.32,109,-3,112,43,9,91,20,200,82.08
5147,Wise Power 400,200,200,4013,18,23,17,17,0,11,32,23.17,99,-38,137,1,0,6,0,200,46.5
5147,Wise Power 400,200,200,4023,6,6,18,7,-11,1,18,6.92,119,60,59,102,8,189,1,200,97.64
5147,Wise Power 400,200,200,4025,34,25,19,22,3,9,34,25.17,72,3,69,5,0,2,0,200,42.83
5147,Wise Power 400,200,200,4231,26,29,20,21,1,17,33,26.01,48,-34,82,0,0,0,0,200,41.83
5147,Wise Power 400,200,200,4142,29,30,21,23,2,5,35,28.41,18,2,16,0,0,8,0,200,37.83
5147,Wise Power 400,200,200,3973,30,31,22,24,2,9,35,28.42,18,0,18,0,0,6,0,200,35.83
5147,Wise Power 400,200,200,4172,35,15,23,13,-10,9,35,20.09,131,5,126,29,0,38,0,200,55
5147,Wise Power 400,200,200,4065,11,2,24,27,3,1,30,8.37,26,2,24,23,39,144,90,199,120.56
5147,Wise Power 400,200,200,4045,14,9,25,25,0,2,27,10.94,62,-27,89,57,0,172,0,199,78.67
5147,Wise Power 400,200,200,4062,8,19,26,20,-6,1,34,18.92,43,-9,52,17,10,75,12,198,67.49
5147,Wise Power 400,200,200,1816,9,11,27,28,1,4,31,19.23,78,13,65,32,0,68,0,198,61
5147,Wise Power 400,200,200,4096,25,27,28,29,1,14,32,25.03,114,-8,122,0,0,2,0,198,42
5147,Wise Power 400,200,200,4001,33,16,29,31,2,4,33,20.46,72,-8,80,22,0,68,0,198,49.5
5147,Wise Power 400,200,200,4213,28,32,30,30,0,21,33,31.3,12,-11,23,0,0,0,0,198,30.17
5147,Wise Power 400,200,200,3832,23,17,31,11,-20,9,23,17.94,88,-18,106,18,0,41,0,193,52.33
5147,Wise Power 400,200,200,4125,27,36,32,32,0,27,36,34.59,7,1,6,0,0,0,0,187,26
5147,Wise Power 400,200,200,4217,22,20,33,33,0,16,30,24.24,83,-19,102,0,0,0,0,157,42.67
5147,Wise Power 400,200,200,4184,10,1,34,34,0,1,17,11.84,46,19,27,44,6,148,16,151,97.28
5147,Wise Power 400,200,200,3989,20,14,35,35,0,8,31,24.21,52,1,51,27,0,62,0,111,56.33
5147,Wise Power 400,200,200,4153,19,35,36,36,0,11,35,27.87,34,8,26,21,1,48,0,94,41.92
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4045,13,11,1,4,3,1,30,6.55,84,32,52,67,21,245,16,274,118.2
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4030,2,2,2,12,10,1,32,7.27,114,46,68,77,13,247,27,274,108.87
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4001,18,3,3,3,0,1,18,3.82,82,16,66,76,28,274,83,274,128.34
5148,Pennzoil 400 presented by Jiffy Lube,267,274,454,37,6,4,1,-3,1,37,9.68,135,27,108,60,26,201,49,274,106.12
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4184,14,12,5,5,0,1,25,6.47,84,23,61,78,13,268,8,274,111.19
5148,Pennzoil 400 presented by Jiffy Lube,267,274,40,20,18,6,8,2,1,34,16.37,105,-36,141,31,0,93,0,274,78.5
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4065,7,9,7,6,-1,6,36,14.23,131,38,93,28,2,140,0,274,85.01
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3368,12,7,8,2,-6,1,35,6.95,109,39,70,75,34,247,1,274,105.48
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4062,5,5,9,15,6,1,15,8.35,79,-13,92,66,3,274,0,274,95.26
