race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
2,162,15,19,"Eric Johnson, Jr.*",Pacific Office Automation Chevrolet,28.804,124.983,18,18,1.206
2,103,16,32,Christian Rose,West Virgina Department of Tourism Ford,28.832,124.861,16,17,1.234
2,165,17,88,Jake Bollman*,Pacific Coast Propane Ford,28.89,124.611,18,20,1.292
2,167,18,41,"Johnny Borneman, III",Tilly’s/Stoney’s Ford,28.937,124.408,1,7,1.339
2,102,19,35,Greg Van Alst,Prescott Tire Pros Ford,28.945,124.374,4,17,1.347
2,144,20,7,Takuma Koga*,Yamada Toyota,28.979,124.228,13,14,1.381
2,117,21,34,Isaac Johnson*,IAC/Endress+Hauser Ford,28.994,124.164,17,19,1.396
2,108,22,22,Amber Balcaen,ICON Direct Toyota,29.006,124.112,6,24,1.408
2,160,23,70,Kyle Keller,Setting The Stage/Battle Born/Argus Construction Ford,29.069,123.843,8,16,1.471
2,159,24,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,29.125,123.605,10,17,1.527
2,164,25,71,Nick Joanides,Jan’s Towing Ford,29.251,123.073,7,10,1.653
2,163,26,1,Robbie Kennealy*,Setting The Stage/American Swin/Wiley X Ford,29.351,122.653,10,17,1.753
2,158,27,42,Tanner Reif,Vegas Fastner MAFG/MMI Sunwest Coast Chevrolet,29.409,122.412,1,3,1.811
2,124,28,17,Marco Andretti*,Group 100/MMI Sunwest Coast Chevrolet,29.438,122.291,6,10,1.84
2,168,29,24,Joe Farre*,SPS/Fisher Industries/American Eagle Ready Mix Chevrolet,29.483,122.104,19,35,1.885
2,134,30,93,Caleb Costner*,Strapino Chevrolet,29.849,120.607,23,24,2.251
2,138,31,63,John Aramendia*,First Call Plumbing Heating & Air Chevrolet,29.888,120.45,22,26,2.29
2,173,32,31,Garrett Zacharias*,Hottle Livestock/Master K’s BBQ Chevrolet,30.014,119.944,12,13,2.416
2,170,33,11,Brad Perez,Sebetka Bail Bonds Ford,30.065,119.741,2,2,2.467
2,171,34,77,Cody Kiemele*,King Taco/Toyota of Redlands Burgesons Htg & Air Toyota,30.066,119.737,17,18,2.468
