race_id,Title,BestLapRank,Number,driver_id,FullName,Manufacturer,Sponsor,BestLapTime,OverAllAvg,OverAllAvgRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank
5312,Final Practice,12,10,454,Kyle Busch(i),Chv,LA Golf,30.547,30.7226667,1,999,,999,,999,,999,,999,,999,
5312,Final Practice,3,00,4104,Cole Custer,Frd,Haas Automation,30.298,30.8615333,2,999,,999,,999,,999,,999,,999,
5312,Final Practice,1,11,4093,Daniel Hemric,Chv,South Point Hotel and Casino,30.216,30.919375,3,30.541,2,999,,999,,999,,999,,999,
5312,Final Practice,7,98,4269,Riley Herbst,Frd,Monster Energy,30.418,30.95,4,30.468,1,31.128,5,999,,999,,999,,999,
5312,Final Practice,4,48,3914,Parker Kligerman,Chv,Big Machine Racing Spiked,30.315,30.9753684,5,30.572,4,999,,999,,999,,999,,999,
5312,Final Practice,16,21,4133,Austin Hill,Chv,Global Industrial,30.665,31.0215,6,30.756,9,31.126,4,999,,999,,999,,999,
5312,Final Practice,9,39,3884,Ryan Sieg,Frd,CMRroofing.com,30.465,31.0236667,7,30.774,10,999,,999,,999,,999,,999,
5312,Final Practice,17,8,4123,Josh Berry,Chv,Bass Pro Shops/TRACKER Boats,30.717,31.03605,8,30.783,11,31.144,6,999,,999,,999,,999,
5312,Final Practice,5,20,4092,John Hunter Nemechek,Tyt,Mobil 1,30.405,31.053125,9,30.556,3,31.018,2,31.125,2,999,,999,,999,
5312,Final Practice,10,24,4065,Tyler Reddick(i),Tyt,GearWrench,30.499,31.09325,10,30.954,15,999,,999,,999,,999,,999,
5312,Final Practice,8,7,34,Justin Allgaier,Chv,BRANDT,30.453,31.1236429,11,30.817,13,30.961,1,31.064,1,31.186,1,999,,999,
5312,Final Practice,6,16,4312,Chandler Smith #,Chv,Quick Tie Products Inc.,30.405,31.1325714,12,30.655,6,31.023,3,31.151,3,31.252,2,999,,999,
5312,Final Practice,13,2,4204,Sheldon Creed,Chv,Whelen,30.579,31.142625,13,30.684,7,31.5,11,999,,999,,999,,999,
5312,Final Practice,11,25,4038,Brett Moffitt,Frd,AM Technical Solutions,30.513,31.1768125,14,30.806,12,999,,999,,999,,999,,999,
5312,Final Practice,2,9,4085,Brandon Jones,Chv,Menards/Jeld-Wen Windows,30.251,31.2116818,15,30.615,5,31.568,12,999,,999,,999,,999,
5312,Final Practice,14,1,4327,Sam Mayer,Chv,Accelerate Pros Talent,30.583,31.21185,16,30.723,8,31.303,8,999,,999,,999,,999,
5312,Final Practice,15,18,4441,Sammy Smith #,Tyt,Pilot Flying J,30.585,31.2264815,17,30.881,14,31.147,7,999,,999,,999,,999,
5312,Final Practice,21,31,4419,Parker Retzlaff #,Chv,FUNKAWAY,30.904,31.3025263,18,31.135,19,999,,999,,999,,999,,999,
5312,Final Practice,24,27,4018,Jeb Burton,Chv,Alsco Uniforms,30.99,31.3229231,19,31.237,20,999,,999,,999,,999,,999,
5312,Final Practice,27,02,4187,Kyle Weatherman,Chv,Our Motorsports,31.107,31.4458462,20,31.445,22,999,,999,,999,,999,,999,
5312,Final Practice,19,26,4191,Kaz Grala,Tyt,Fire Department Coffee,30.866,31.4697667,21,31.055,16,31.352,9,31.398,4,31.475,3,999,,999,
5312,Final Practice,25,78,4301,Anthony Alfredo,Chv,Dude Wipes,31.078,31.4744375,22,31.653,25,999,,999,,999,,999,,999,
5312,Final Practice,29,28,4225,Alex Labbe,Frd,G Coin/Larue,31.173,31.4852,23,999,,999,,999,,999,,999,,999,
5312,Final Practice,23,51,595,Jeremy Clements,Chv,First Pacific Funding,30.969,31.56275,24,999,,999,,999,,999,,999,,999,
5312,Final Practice,20,38,4388,Kyle Sieg,Frd,TopPool.com,30.892,31.5781429,25,31.117,18,999,,999,,999,,999,,999,
5312,Final Practice,35,08,4103,Gray Gaulding,Frd,Panini NFT,31.562,31.612,26,999,,999,,999,,999,,999,,999,
5312,Final Practice,26,53,4316,CJ McLaughlin,Chv,Sci Aps,31.092,31.6158333,27,31.555,23,999,,999,,999,,999,,999,
5312,Final Practice,22,19,4313,Joe Graf Jr.,Tyt,CoverSeal,30.966,31.62925,28,31.105,17,31.495,10,999,,999,,999,,999,
5312,Final Practice,32,4,4257,Bayley Currey,Chv,KSDT CPA,31.411,31.646,29,999,,999,,999,,999,,999,,999,
5312,Final Practice,18,45,4422,Rajah Caruth(i),Chv,Wendell Scott Foundation/Microsoft,30.793,31.6858421,30,31.375,21,31.585,13,999,,999,,999,,999,
5312,Final Practice,28,91,4213,Josh Bilicki(i),Chv,JAG Metals LLC,31.129,31.7041176,31,31.57,24,999,,999,,999,,999,,999,
5312,Final Practice,30,92,4106,Josh Williams,Chv,Call 811/Alloy Employer,31.288,31.7214167,32,31.978,28,999,,999,,999,,999,,999,
5312,Final Practice,37,6,4144,Brennan Poole,Chv,Macc Door Systems,31.589,31.7908571,33,999,,999,,999,,999,,999,,999,
5312,Final Practice,40,99,4142,Garrett Smithley,Chv,PCARx,31.674,31.83,34,999,,999,,999,,999,,999,,999,
5312,Final Practice,34,66,4432,Mason Maggio(i),Frd,HMY Yachts,31.487,31.8823077,35,31.797,27,999,,999,,999,,999,,999,
5312,Final Practice,31,07,4376,Blaine Perkins #,Chv,AUTOPARKit.com,31.302,31.9059,36,999,,999,,999,,999,,999,,999,
5312,Final Practice,39,74,4320,Ryan Vargas,Chv,Lerner & Rowe Injury Lawyers,31.66,31.93375,37,999,,999,,999,,999,,999,,999,
5312,Final Practice,33,35,4004,Joey Gase,Tyt,Nevada Donor Network,31.455,31.9351429,38,31.739,26,999,,999,,999,,999,,999,
5312,Final Practice,36,44,3894,Jeffrey Earnhardt,Chv,Jesus Revolution - The Movie,31.565,31.9783333,39,999,,999,,999,,999,,999,,999,
5312,Final Practice,38,43,4029,Ryan Ellis,Chv,Shine Water,31.616,32.076,40,32.253,29,999,,999,,999,,999,,999,
5313,Final Practice,9,20,4092,John Hunter Nemechek,Tyt,Safeway/Albertsons,28.146,28.68572,1,28.437,15,28.516,10,28.558,6,28.619,4,28.686,1,999,
5313,Final Practice,2,10,454,Kyle Busch(i),Chv,LA Golf,27.992,28.6912222,2,28.156,3,999,,999,,999,,999,,999,
5313,Final Practice,6,21,4133,Austin Hill,Chv,United Rentals,28.11,28.7508966,3,28.272,5,28.41,4,28.52,3,999,,999,,999,
5313,Final Practice,11,98,4269,Riley Herbst,Frd,Monster Energy,28.202,28.7576429,4,28.357,8,28.416,6,28.526,4,28.603,3,999,,999,
5313,Final Practice,4,8,4123,Josh Berry,Chv,Jarrett Logistics Systems,28.054,28.7828077,5,28.402,11,28.466,8,28.571,7,28.678,5,28.773,3,999,
5313,Final Practice,7,18,4441,Sammy Smith #,Tyt,Pilot Flying J,28.111,28.7896207,6,28.338,6,28.408,3,28.493,2,28.584,2,28.694,2,999,
5313,Final Practice,5,19,3952,Ryan Truex,Tyt,Toyota Genuine Parts,28.084,28.79764,7,28.125,2,28.262,1,28.374,1,28.508,1,28.798,4,999,
5313,Final Practice,8,7,34,Justin Allgaier,Chv,hellowater,28.135,28.8301429,8,28.412,13,28.546,12,28.683,9,999,,999,,999,
5313,Final Practice,15,31,4419,Parker Retzlaff #,Chv,Bommarito Automotive Group,28.284,28.83184,9,28.401,10,28.528,11,29.034,12,999,,999,,999,
5313,Final Practice,17,1,4327,Sam Mayer,Chv,Accelerate Pros Talent,28.404,28.8351739,10,28.56,21,28.622,13,28.724,10,28.812,7,999,,999,
5313,Final Practice,19,02,4187,Kyle Weatherman,Chv,Our Motorsports,28.434,28.8553889,11,28.533,19,999,,999,,999,,999,,999,
5313,Final Practice,3,16,4312,Chandler Smith #,Chv,Quick Tie Products Inc.,28.003,28.8592,12,28.34,7,28.427,7,28.551,5,999,,999,,999,
5313,Final Practice,10,48,3914,Parker Kligerman,Chv,Big Machine Racing Spiked,28.151,28.8608889,13,28.248,4,28.412,5,29.158,14,999,,999,,999,
5313,Final Practice,16,39,3884,Ryan Sieg,Frd,CMRroofing.com,28.328,28.879,14,28.425,14,999,,999,,999,,999,,999,
5313,Final Practice,12,25,4038,Brett Moffitt,Frd,AM Technical Solutions,28.217,28.8804545,15,28.403,12,28.656,16,999,,999,,999,,999,
5313,Final Practice,18,11,4093,Daniel Hemric,Chv,Cirkul,28.419,28.8825,16,28.531,18,28.63,15,28.725,11,999,,999,,999,
5313,Final Practice,1,00,4104,Cole Custer,Frd,Haas Automation,27.947,28.8907692,17,28.021,1,28.382,2,999,,999,,999,,999,
5313,Final Practice,14,2,4204,Sheldon Creed,Chv,Whelen,28.252,28.9185806,18,28.377,9,28.494,9,28.608,8,28.718,6,999,,999,
5313,Final Practice,22,92,4106,Josh Williams,Chv,Call 811/Alloy Employer,28.493,28.9225294,19,28.555,20,999,,999,,999,,999,,999,
5313,Final Practice,24,27,4018,Jeb Burton,Chv,Bommarito.com/EasyCare,28.609,28.9604545,20,999,,999,,999,,999,,999,,999,
5313,Final Practice,21,24,4433,Connor Mosack,Tyt,Toyota Racing Development,28.465,28.9952222,21,28.509,17,28.624,14,29.179,15,999,,999,,999,
5313,Final Practice,29,51,595,Jeremy Clements,Chv,Fox Sports/Spartan Waste,28.751,29.0068462,22,999,,999,,999,,999,,999,,999,
5313,Final Practice,27,78,4301,Anthony Alfredo,Chv,Ticket Smarter,28.695,29.0085882,23,28.9,24,999,,999,,999,,999,,999,
5313,Final Practice,35,08,4103,Gray Gaulding,Frd,Panini NFT,28.932,29.016,24,999,,999,,999,,999,,999,,999,
5313,Final Practice,26,74,4256,Dawson Cram,Chv,Lerner & Rowe Injury Lawyers,28.624,29.0345714,25,999,,999,,999,,999,,999,,999,
5313,Final Practice,13,26,4191,Kaz Grala,Tyt,Fire Department Coffee,28.248,29.037963,26,28.472,16,28.974,17,29.099,13,999,,999,,999,
5313,Final Practice,20,9,4085,Brandon Jones,Chv,Menards/Barracuda Pumps,28.438,29.03825,27,28.65,22,29.147,19,999,,999,,999,,999,
5313,Final Practice,34,6,4144,Brennan Poole,Chv,Rudy's Barbecue/Macc Door Systems,28.887,29.1211,28,999,,999,,999,,999,,999,,999,
5313,Final Practice,23,28,4388,Kyle Sieg,Frd,,28.569,29.1641429,29,28.907,25,999,,999,,999,,999,,999,
5313,Final Practice,36,35,4004,Joey Gase,Tyt,Nevada Donor Network,28.953,29.2256,30,29.119,31,29.226,22,999,,999,,999,,999,
5313,Final Practice,33,45,4449,Leland Honeyman,Chv,Klean Freak Body Wipes,28.817,29.247,31,28.945,26,29.139,18,999,,999,,999,,999,
5313,Final Practice,37,91,4142,Garrett Smithley,Chv,DozerWinchParts.com,29.016,29.2538571,32,29.318,32,999,,999,,999,,999,,999,
5313,Final Practice,32,43,4029,Ryan Ellis,Chv,Rolling Plains Construction,28.815,29.2615556,33,29.053,28,29.345,23,999,,999,,999,,999,
5313,Final Practice,30,44,3894,Jeffrey Earnhardt,Chv,Gas POS/BZ Mart,28.772,29.3113684,34,29.096,29,29.222,21,999,,999,,999,,999,
5313,Final Practice,31,4,4257,Bayley Currey,Chv,Mikes Weather Page/Firman,28.801,29.3623333,35,29.1,30,999,,999,,999,,999,,999,
5313,Final Practice,28,07,4376,Blaine Perkins #,Chv,Swift,28.723,29.4725,36,28.956,27,999,,999,,999,,999,,999,
5313,Final Practice,25,38,4313,Joe Graf Jr,Frd,GTECHNIQ,28.62,29.53076,37,28.809,23,29.184,20,999,,999,,999,,999,
5313,Final Practice,39,53,4254,Patrick Emerling,Chv,Sci Aps,29.226,29.9202083,38,29.579,33,29.984,24,999,,999,,999,,999,
5313,Final Practice,38,66,3517,Brian Weber,Frd,Last Option Bed,29.108,30.9534545,39,30.752,34,999,,999,,999,,999,,999,
5315,Final Practice,1,10,3774,AJ Allmendinger(i),Chv,Celsius,135.055,135.7392,1,999,,999,,999,,999,,999,,999,
5315,Final Practice,4,2,4204,Sheldon Creed,Chv,Whelen,136.012,136.3218,2,999,,999,,999,,999,,999,,999,
5315,Final Practice,2,17,4184,William Byron(i),Chv,HendrickCars.com,135.507,136.4418333,3,135.92,1,999,,999,,999,,999,,999,
5315,Final Practice,6,00,4104,Cole Custer,Frd,Haas Automation,136.151,136.80725,4,136.542,2,999,,999,,999,,999,,999,
5315,Final Practice,8,92,4225,Alex Labbe,Chv,Alloy Employer Services,136.337,136.838,5,999,,999,,999,,999,,999,,999,
5315,Final Practice,7,7,34,Justin Allgaier,Chv,BRANDT,136.266,137.14475,6,136.831,3,999,,999,,999,,999,,999,
5315,Final Practice,9,21,4133,Austin Hill,Chv,Bennett Transportation,136.664,137.3668333,7,999,,999,,999,,999,,999,,999,
5315,Final Practice,13,1,4327,Sam Mayer,Chv,Accelerate Pros Talent,137.032,137.597,8,137.242,4,999,,999,,999,,999,,999,
5315,Final Practice,11,20,4092,John Hunter Nemechek,Tyt,Romco Equipment,136.745,137.680875,9,137.416,5,999,,999,,999,,999,,999,
5315,Final Practice,14,11,4093,Daniel Hemric,Chv,Chevrolet Accessories,137.091,137.695,10,137.431,6,999,,999,,999,,999,,999,
5315,Final Practice,19,27,4018,Jeb Burton,Chv,State Water Heaters/HeartBeat,137.344,137.8163333,11,999,,999,,999,,999,,999,,999,
5315,Final Practice,17,98,4269,Riley Herbst,Frd,Monster Energy,137.22,137.9135,12,999,,999,,999,,999,,999,,999,
5315,Final Practice,5,48,3914,Parker Kligerman,Chv,Big Machine Racing Spiked,136.055,138.1112,13,999,,999,,999,,999,,999,,999,
5315,Final Practice,21,24,4433,Connor Mosack,Tyt,Toyota Racing Development,137.625,138.4871667,14,138.317,8,999,,999,,999,,999,,999,
5315,Final Practice,25,91,4213,Josh Bilicki,Chv,Insurance King/Zeigler,138.004,138.5366,15,999,,999,,999,,999,,999,,999,
5315,Final Practice,18,8,4123,Josh Berry,Chv,Tire Pros Love The Drive,137.221,138.7018,16,999,,999,,999,,999,,999,,999,
5315,Final Practice,30,07,4326,Carson Hocevar(i),Chv,Engine Parts Plus,138.482,138.73725,17,999,,999,,999,,999,,999,,999,
5315,Final Practice,26,51,595,Jeremy Clements,Chv,Straitline Nitro,138.022,138.8166,18,999,,999,,999,,999,,999,,999,
5315,Final Practice,3,19,4368,Ty Gibbs(i),Tyt,Monster Energy,135.72,138.848375,19,139.891,14,999,,999,,999,,999,,999,
5315,Final Practice,20,9,4085,Brandon Jones,Chv,Menards/Char-Broil Grills,137.458,138.85,20,138.476,10,999,,999,,999,,999,,999,
5315,Final Practice,23,16,4312,Chandler Smith #,Chv,Quick Tie Products Inc.,137.771,138.8548333,21,138.318,9,999,,999,,999,,999,,999,
5315,Final Practice,27,02,4187,Kyle Weatherman,Chv,Our Motorsports,138.192,138.9796667,22,999,,999,,999,,999,,999,,999,
5315,Final Practice,10,18,4441,Sammy Smith #,Tyt,Pilot Flying J,136.745,139.0027143,23,137.434,7,999,,999,,999,,999,,999,
5315,Final Practice,29,88,3960,Miguel Paludo,Chv,BRANDT,138.358,139.4857143,24,139.085,11,999,,999,,999,,999,,999,
5315,Final Practice,33,39,3884,Ryan Sieg,Frd,CMRroofing.com,139.085,139.6315714,25,139.408,12,999,,999,,999,,999,,999,
5315,Final Practice,22,78,4301,Anthony Alfredo,Chv,Pit Boss,137.721,139.67475,26,999,,999,,999,,999,,999,,999,
5315,Final Practice,28,38,4313,Joe Graf Jr.,Frd,G-Coin,138.197,139.883,27,139.68,13,999,,999,,999,,999,,999,
5315,Final Practice,31,6,4144,Brennan Poole,Chv,BeONE Sports,138.946,140.10225,28,999,,999,,999,,999,,999,,999,
5315,Final Practice,32,53,4421,Brad Perez,Chv,Apex/Weiss Sand & Clay LP,139.023,140.84775,29,999,,999,,999,,999,,999,,999,
5315,Final Practice,16,44,4409,Sage Karam,Chv,Quality Roof Seamers,137.187,141.22,30,999,,999,,999,,999,,999,,999,
5315,Final Practice,15,50,4317,Preston Pardus,Chv,Garage Oil Spirits,137.152,141.23,31,999,,999,,999,,999,,999,,999,
5315,Final Practice,38,4,4142,Garrett Smithley,Chv,2-C Equipment,140.56,141.5405,32,999,,999,,999,,999,,999,,999,
5315,Final Practice,34,66,4397,Cameron Lawrence,Tyt,Impact Health Labs/RAFA Racing Club,139.255,141.626,33,999,,999,,999,,999,,999,,999,
5315,Final Practice,39,35,4370,Parker Chase,Frd,ONTIVITY,140.576,141.93425,34,999,,999,,999,,999,,999,,999,
5315,Final Practice,36,43,4029,Ryan Ellis,Chv,Four Loko,139.797,141.948,35,999,,999,,999,,999,,999,,999,
5315,Final Practice,12,08,40,Aric Almirola(i),Frd,Rush Truck Centers,136.855,141.9908333,36,141.991,16,999,,999,,999,,999,,999,
5315,Final Practice,35,31,4419,Parker Retzlaff #,Chv,FUNKAWAY,139.659,142.0585714,37,141.166,15,999,,999,,999,,999,,999,
5315,Final Practice,24,25,4038,Brett Moffitt,Frd,AM Technical Solutions,137.922,142.4443333,38,999,,999,,999,,999,,999,,999,
5315,Final Practice,37,45,3894,Jeffrey Earnhardt,Chv,Gas POS/BZ Mart,140.48,142.8316,39,999,,999,,999,,999,,999,,999,
5315,Final Practice,41,26,4191,Kaz Grala,Tyt,Fire Department Coffee,143.461,143.461,40,999,,999,,999,,999,,999,,999,
5315,Final Practice,42,28,4388,Kyle Sieg,Frd,,144.845,145.6994286,41,145.393,17,999,,999,,999,,999,,999,
5315,Final Practice,40,74,4455,Baltazar Leguizamon,Chv,TEDIT/Altstadt Brewery,142.039,147.91,42,999,,999,,999,,999,,999,,999,
