race_id,driver_id,BestLapRank,Number,FullName,Sponsor,BestLapTime,BestLapSpeed,InLap,Laps,Diff
22,227,7,7,Tyler Scofield,JXT Transportation Chevrolet,19.952,107.538,2,2,0.532
22,225,8,95,Hunter Wright,Cedar River RV Toyota,20.078,106.863,1,2,0.658
22,134,9,93,Caleb Costner,Thin Blue Wine Cellars Chevrolet,20.85,102.906,2,2,1.43
22,181,10,39,D.L. Wilson,Heart O’ Texas Speedway/ETR Toyota,20.859,102.862,2,2,1.439
22,120,11,99,Michael Maples,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,20.972,102.308,2,2,1.552
22,191,12,10,Jayson Alexander,Selwyn Pub/Constant Contact Toyota,21.527,99.67,2,2,2.107
22,149,13,6,Cody Dennison,Peterson Motorsports Toyota,21.625,99.218,2,2,2.205
22,194,14,12,Presley Sorah,Tatanka Sauce/Layin Coin Podcast Toyota,21.942,97.785,2,2,2.522
22,183,15,31,Rita Goulet,NationalPolice.org Chevrolet,22.355,95.979,2,2,2.935
22,121,16,48,Brad Smith,Copraya.com Ford,22.966,93.425,2,2,3.546
22,196,17,0,Nate Moeller,Peterson Motorsports Ford,23.2,92.483,1,2,3.78
23,178,1,28,Connor Zilisch,Chevrolet/Silver Hare Development Chevrolet,12.724,70.732,1,2,0
23,151,2,20,Gio Ruggiero,JBL Toyota,12.764,70.511,1,2,0.04
23,150,3,18,William Sawalich,Starkey/Sound Gear Toyota,12.796,70.334,2,2,0.072
23,180,4,11,Zachary Tinkle,Racing for Rescues/Fast Track Toyota,13.044,68.997,2,2,0.32
23,136,5,55,Toni Breidinger,VMS Toyota,13.062,68.902,1,2,0.338
23,202,6,12,Matt Kemp,Work for Green Shield Deck Builders Toyota,13.202,68.171,1,2,0.478
23,229,7,1,Blaine Donahue,PALM Charter School Toyota,13.356,67.385,1,2,0.632
23,210,8,65,Jeffery MacZink,Syncon Perf Floor/Parkway Svcs/Innovative Fluids Toyota,13.365,67.34,2,2,0.641
23,226,9,93,Colton Collins,Thin Blue Wine Cellars Chevrolet,13.502,66.657,1,2,0.778
23,191,10,10,Jayson Alexander,Selwyn Pub/Constant Contact Toyota,13.553,66.406,2,2,0.829
23,181,11,39,D.L. Wilson,Heart O’ Texas Speedway/ETR Toyota,13.655,65.91,2,2,0.931
23,120,12,99,Michael Maples,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,13.681,65.785,2,2,0.957
23,149,13,6,Cody Dennison,Timcast.com Toyota,13.833,65.062,1,2,1.109
23,183,14,31,Rita Goulet,NationalPolice.org Chevrolet,14.149,63.609,2,2,1.425
23,121,15,48,Brad Smith,Copraya.com Ford,14.416,62.431,1,2,1.692
24,157,1,13,Tyler Reif,Central Coast Cabinets Toyota,18.464,97.487,2,2,0
24,156,2,16,Jack Wood,NAPA Auto Care Chevrolet,18.646,96.535,2,3,0.182
24,230,3,5,Kole Raz,Apache Rental Group Toyota,18.647,96.53,3,4,0.183
24,159,4,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,18.737,96.067,2,3,0.273
24,164,5,71,Nick Joanides,Jan’s Towing Ford,18.744,96.031,3,3,0.28
24,154,6,24,Sean Hingorani,SPS/Fisher Industries Chevrolet,18.758,95.959,2,3,0.294
