race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5311,2,8,2,4204,Sheldon Creed,3
5311,2,9,98,4269,Riley Herbst,2
5311,2,10,16,4312,Chandler Smith #,1
5311,2,11,39,3884,Ryan Sieg,0
5311,2,12,26,4191,Kaz Grala,0
5311,2,13,21,4133,Austin Hill,0
5311,2,14,24,4065,Tyler Reddick(i),0
5311,2,15,25,4038,Brett Moffitt,0
5311,2,16,19,4313,Joe Graf Jr.,0
5311,2,17,11,4093,Daniel Hemric,0
5311,2,18,78,4301,Anthony Alfredo,0
5311,2,19,28,4225,Alex Labbe,0
5311,2,20,38,4388,Kyle Sieg,0
5311,2,21,92,4106,Josh Williams,0
5311,2,22,31,4419,Parker Retzlaff #,0
5311,2,23,6,4144,Brennan Poole,0
5311,2,24,43,4029,Ryan Ellis,0
5311,2,25,4,4257,Bayley Currey,0
5311,2,26,07,4376,Blaine Perkins #,0
5311,2,27,44,3894,Jeffrey Earnhardt,0
5311,2,28,35,4004,Joey Gase,0
5311,2,29,02,3170,David Starr,0
5311,2,30,51,595,Jeremy Clements,0
5311,2,31,91,4001,Ross Chastain(i),0
5311,2,32,53,4316,CJ McLaughlin,0
5311,2,33,45,4422,Rajah Caruth(i),0
5311,2,34,8,4123,Josh Berry,0
5311,2,35,66,3984,Timmy Hill(i),0
5311,2,36,27,4018,Jeb Burton,0
5311,2,37,9,4085,Brandon Jones,0
5311,2,38,08,4103,Gray Gaulding,0
5312,1,1,20,4092,John Hunter Nemechek,10
5312,1,2,7,34,Justin Allgaier,9
5312,1,3,21,4133,Austin Hill,8
5312,1,4,16,4312,Chandler Smith #,7
5312,1,5,98,4269,Riley Herbst,6
5312,1,6,11,4093,Daniel Hemric,5
5312,1,7,10,454,Kyle Busch(i),0
5312,1,8,18,4441,Sammy Smith #,3
5312,1,9,2,4204,Sheldon Creed,2
5312,1,10,8,4123,Josh Berry,1
5312,1,11,25,4038,Brett Moffitt,0
5312,1,12,1,4327,Sam Mayer,0
5312,1,13,9,4085,Brandon Jones,0
5312,1,14,48,3914,Parker Kligerman,0
5312,1,15,00,4104,Cole Custer,0
5312,1,16,27,4018,Jeb Burton,0
5312,1,17,24,4065,Tyler Reddick(i),0
5312,1,18,78,4301,Anthony Alfredo,0
5312,1,19,19,4313,Joe Graf Jr.,0
5312,1,20,39,3884,Ryan Sieg,0
5312,1,21,02,4187,Kyle Weatherman,0
5312,1,22,28,4225,Alex Labbe,0
5312,1,23,38,4388,Kyle Sieg,0
5312,1,24,26,4191,Kaz Grala,0
5312,1,25,31,4419,Parker Retzlaff #,0
5312,1,26,45,4422,Rajah Caruth(i),0
5312,1,27,44,3894,Jeffrey Earnhardt,0
5312,1,28,4,4257,Bayley Currey,0
5312,1,29,92,4106,Josh Williams,0
5312,1,30,6,4144,Brennan Poole,0
5312,1,31,08,4103,Gray Gaulding,0
5312,1,32,43,4029,Ryan Ellis,0
5312,1,33,51,595,Jeremy Clements,0
5312,1,34,91,4213,Josh Bilicki,0
5312,1,35,35,4004,Joey Gase,0
5312,1,36,53,4254,Patrick Emerling,0
5312,1,37,07,4376,Blaine Perkins #,0
5312,1,38,99,4142,Garrett Smithley,0
5312,2,1,21,4133,Austin Hill,10
5312,2,2,9,4085,Brandon Jones,9
5312,2,3,10,454,Kyle Busch(i),0
5312,2,4,1,4327,Sam Mayer,7
5312,2,5,18,4441,Sammy Smith #,6
5312,2,6,16,4312,Chandler Smith #,5
5312,2,7,98,4269,Riley Herbst,4
5312,2,8,00,4104,Cole Custer,3
5312,2,9,25,4038,Brett Moffitt,2
5312,2,10,2,4204,Sheldon Creed,1
